sl,question,opt_1,opt_2,opt_3,opt_4,answer
1,"According to the text, what is the linguistic meaning of the word ""Arab""?",Noble people,Deserts and waste barren land,Southern dwellers,Traders and merchants,opt_2
2,Which of these groups is classified as 'Pure Arabs'?,Progeny of Ishmael,"'Ad, Thamud, and Tasam",Progeny of Ya'rub bin Yashjub bin Qahtan,Kings of old Syria,opt_3
3,The 'Arabized Arabs' are also known by what other name?,Qahtanian Arabs,'Adnanian Arabs,Perishing Arabs,Himyar Arabs,opt_2
4,"The two famous tribes of the Pure Arabs, Himyar and Kahlan, originally lived in which region?",Syria,Iraq,Yemen,Hijaz,opt_3
5,What was a major reason for the Kahlan septs emigrating from Yemen?,A great fire,The Great Flood (Sail Al-'Arim) and failure of trade,An invitation from the Persian Empire,A volcanic eruption,opt_2
6,"The tribes of Aws and Khazraj, who later settled in Madinah, were descendants from which larger tribe?",Kinda,Banu Tai',Azd,Jurhum,opt_3
7,Which descendant of 'Amr bin 'Amr headed to Syria and initiated the kingdom of Ghassan?,Tha'labah bin 'Amr,Haritha bin 'Amr,Jafna bin 'Amr,Nasr bin Rabi'a,opt_3
8,"The 'Arabized Arabs' trace their ancestry back to which great grandfather who came from a town called ""Ar""?",Prophet Moses [AWS],Prophet Ishmael [AWS],Prophet Abraham [AWS],Prophet Noah [AWS],opt_3
9,What body of water encloses the Arabian Peninsula to the west?,The Arabian Gulf,The Arabian Sea,The Red Sea and Sinai,The Indian Ocean,opt_3
10,"After Hagar and Ishmael settled in Makkah, which Yemeni tribe came to live there with Hagar's permission?",Khuza'a,Azd,Jurhum the Second,Banu Tai',opt_3
11,"According to the text, Abraham's vision, which was a 'manifest trial', involved what act?",Building the Sacred House,Migrating to a new land,Slaughtering his son Ishmael,Fasting for forty days,opt_3
12,From which tribe did Ishmael learn Arabic and eventually take a wife?,The tribe of Khuza'a,The tribe of Jurhum,The tribe of Quda'a,The tribe of Kinda,opt_2
13,Which of the following are listed as examples of 'Perishing Arabs'?,Aws and Khazraj,"Ad, Thamud, and Jadis",Himyar and Kahlan,Lakhm and Judham,opt_2
14,"The text mentions Abraham [AWS] returned to Palestine after a journey to Egypt. What did Pharaoh give to Sarah, who then gave her to Abraham as a wife?",Gold and silver,Livestock,Hagar,Land and property,opt_3
15,"The Banu Tai' tribe emigrated northwards and settled by two mountains, which were consequently named after them. What were the mountains called?",Aja and Salma Mountains,Mount Uhud and Mount Hira,Mount Safa and Mount Marwa,Tihama Mountains,opt_1
16,What is the ultimate purpose of Prophet Muhammad's (pbuh) biography  as stated in the introduction?,To provide a historical record of Arab lineage,To deliver humanity from darkness and polytheism to light and monotheism,To document the trade routes of the ancient world,To offer a guide to military strategy,opt_2
17,The Arabian Peninsula's strategic external setting allowed it to become a center for what?,Military conquest and expansion,Isolationism and self-sufficiency,Agriculture and farming,"Trade, culture, religion and art",opt_4
18,The descendants of Jafna a sept of the Kahlan tribe  became the kings of what area?,Heerah,Yemen,Old Syria,Oman,opt_3
19,"What was the name given to Haritha bin 'Amr, who wandered with his folks and eventually conquered the Haram in Makkah?",Jafna,Azd-of-Shanu'a,Khuza'a,Tha'labah,opt_3
20,"Nasr bin Rabi'a, the father of the Manadhira (Kings of Heerah), belonged to which tribes?",Lakhm and Judham,Aws and Khazraj,Himyar and Sakasic,Azd and Kinda,opt_1
21,The Kinda tribe initially dwelt in Bahrain before being expelled to which two regions?,Syria and Iraq,Hijaz and Tihama,Hadramout and Najd,Oman and Yemen,opt_3
22,"Abraham's [AWS] hometown ""Ar"" is located near what modern city on the west bank of the Euphrates?",Damascus,Jerusalem,Baghdad,Kufa,opt_4
23,"After leaving the town of Ar, Abraham went to Harran and then made which location the headquarters for his Message?",Egypt,Makkah,Palestine,Yemen,opt_3
24,"What did Sarah do with Hagar, who was given to her by the Pharaoh?",Sent her back to Egypt,Sold her in the market,Gave her to Abraham as a wife,Made her the lead servant,opt_3
25,What items did Abraham leave with Hagar and Ishmael in the valley of Makkah?,A bag of coins and a waterskin,A tent and some livestock,A leather case with dates and a pot of water,Two camels and a map,opt_3
26,"According to Sahih Al-Bukhari, the Jurhum tribe came to Makkah at what point in Ishmael's life?",After he had grown up and married,Before Ishmael was a young man,Immediately after he was born,After the Zamzam spring dried up,opt_2
